date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:08	617/617	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2004%20Jun%202017%2009:04:09%20GMT	http://groupeleblancgroup.com/upload	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload.0.delayed	(from )
14:34:08	881/881	U-----	200	untouched ('OK')	text/html	date:Sun,%2004%20Jun%202017%2008:34:53%20GMT	http://groupeleblancgroup.com/robots.txt		(from )
14:34:08	25042/25042	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202017%2009:04:10%20GMT	http://groupeleblancgroup.com/upload/	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/index.html	(from )
14:34:09	1114/1114	---M--	200	added ('OK')	image/png	date:Wed,%2022%20Feb%202017%2006:13:07%20GMT	http://groupeleblancgroup.com/_autoindex/icons/folder.png	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/_autoindex/icons/folder.png	(from http://groupeleblancgroup.com/upload/)
14:34:09	171/171	U-----	200	untouched ('')	image/png	date:Wed,%2022%20Feb%202017%2006:13:07%20GMT	http://groupeleblancgroup.com/_autoindex/icons/blank.png	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/_autoindex/icons/blank.png	(from http://groupeleblancgroup.com/upload/)
14:34:09	25042/25042	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202017%2009:04:11%20GMT	http://groupeleblancgroup.com/upload/?ND	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/index9a11.html	(from http://groupeleblancgroup.com/upload/)
14:34:09	25042/25042	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202017%2009:04:11%20GMT	http://groupeleblancgroup.com/upload/?MA	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/index2a60.html	(from http://groupeleblancgroup.com/upload/)
14:34:10	25042/25042	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202017%2009:04:11%20GMT	http://groupeleblancgroup.com/upload/?SA	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/index3dd6.html	(from http://groupeleblancgroup.com/upload/)
14:34:11	1139/1139	U-----	200	untouched ('')	image/png	date:Wed,%2022%20Feb%202017%2006:13:07%20GMT	http://groupeleblancgroup.com/_autoindex/icons/up.png	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/_autoindex/icons/up.png	(from http://groupeleblancgroup.com/upload/)
14:34:11	25042/25042	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202017%2009:04:12%20GMT	http://groupeleblancgroup.com/upload/?DA	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/index0389.html	(from http://groupeleblancgroup.com/upload/)
14:34:11	28061/28061	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202017%2009:04:12%20GMT	http://groupeleblancgroup.com/	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/index.html	(from http://groupeleblancgroup.com/upload/)
14:34:11	28112/28112	---MCZ	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202017%2009:04:13%20GMT	http://groupeleblancgroup.com/upload/floor/	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/floor/index.html	(from http://groupeleblancgroup.com/upload/)
14:34:12	45535/45535	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/1-0609F0C0-4A71-9F3B-F981-3F8F4B5B5132ml_1.jpg	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/1-0609F0C0-4A71-9F3B-F981-3F8F4B5B5132ml_1.jpg	(from http://groupeleblancgroup.com/upload/)
14:34:12	791/791	---M-Z	200	added ('OK')	text/html	date:Sun,%2004%20Jun%202017%2009:04:14%20GMT	http://groupeleblancgroup.com/upload/map/	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/map/index.html	(from http://groupeleblancgroup.com/upload/)
14:34:12	35490/35490	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2004%20Jun%202017%2009:04:14%20GMT	http://groupeleblancgroup.com/upload/photo/	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/photo/index.html	(from http://groupeleblancgroup.com/upload/)
14:34:13	1114/1114	U-----	200	untouched ('')	image/png	date:Wed,%2022%20Feb%202017%2006:13:07%20GMT	http://groupeleblancgroup.com/_autoindex/icons/image.png	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/_autoindex/icons/image.png	(from http://groupeleblancgroup.com/upload/)
14:34:14	9140/9140	---M--	200	added ('OK')	image/gif	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/1-53D6FE6D-7CF9-2AC8-5C23-D46E00C20156image1.gif	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/1-53D6FE6D-7CF9-2AC8-5C23-D46E00C20156image1.gif	(from http://groupeleblancgroup.com/upload/)
14:34:15	32928/32928	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/1-22F7511A-B242-2A31-98E1-19FAB9734C58417-1.jpg	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/1-22F7511A-B242-2A31-98E1-19FAB9734C58417-1.jpg	(from http://groupeleblancgroup.com/upload/)
14:34:15	21720/21720	---M--	200	added ('OK')	image/png	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/1-2B7563E9-9D63-953A-A8DA-43F3FA065573Picture%201.png	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/1-2B7563E9-9D63-953A-A8DA-43F3FA065573Picture%201.png	(from http://groupeleblancgroup.com/upload/)
14:34:17	18353/18353	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20May%202010%2004:00:00%20GMT	http://groupeleblancgroup.com/upload/1-89919E43-0135-E4D6-B975-D2651E2B4BF6sp_2_1.jpg	C:/My%20Web%20Sites/groupeleblancgroup.com_upload/groupeleblancgroup.com/upload/1-89919E43-0135-E4D6-B975-D2651E2B4BF6sp_2_1.jpg	(from http://groupeleblancgroup.com/upload/)
